Ward Code,Ward Name ,Time Period,Latest Mid-Year Population Estimates for Ward,All Crimes (number),All Crimes (rate per 1000 ward population),Violent & Sexual Offences (number),Violent & Sexual Offences (rate per 1000 ward population),Burglary (number),Burglary (rate per 1000 ward population)
E05010895,Cotham,2016/17,11880,761,64.05723906,132,11.11111111,111,9.343434343
E05010905,Hotwells & Harbourside,2016/17,5543,2337,421.612845,737,132.9604907,124,22.37055746
E05010907,Lawrence Hill,2016/17,18884,3549,187.9368778,1152,61.00402457,243,12.86803643
E05010914,Southville,2016/17,12118,2085,172.0580954,484,39.94058425,170,14.02871761
E05010916,Stoke Bishop,2016/17,12103,584,48.25249938,114,9.419152276,93,7.684045278
E05010917,Westbury-on-Trym,2016/17,19624,1406,71.6469629,180,9.172441908,241,12.28088055
,Bristol,2016/17,455966,55419,121.5419571,15951,34.98287153,4860,10.65868946
E05010899,Frome Vale,2017/18,13281,1509,113.6209623,462,34.78653716,134,10.08960169
E05010903,Hillfields,2017/18,12889,1078,83.63721002,410,31.8100706,116,8.999922414
E05010905,Hotwells & Harbourside,2017/18,6006,2218,369.2973693,754,125.5411255,108,17.98201798
E05010917,Henleaze,2017/18,19854,1225,61.70041302,155,7.806991035,297,14.95920218
E05010887,Bedminster,2018/19,12517,1036,82.76743629,325,25.96468802,69,5.512502996
E05010892,Central,2018/19,20656,8672,419.8295895,2166,104.8605732,484,23.43144849
E05010915,Stockwood,2018/19,11580,820,70.81174439,290,25.04317789,59,5.094991364
E05010886,Avonmouth,2019/20,21375,2322,108.6315789,967,45.23976608,128,5.988304094
E05010887,Bedminster,2019/20,12517,1202,96.02940002,353,28.20164576,103,8.22880882
E05010903,Hillfields,2019/20,12898,987,76.52349201,404,31.32268569,61,4.729415413
E05010909,Redland,2019/20,13088,700,53.48410758,160,12.22493888,61,4.660757946
E05010918,Windmill Hill,2019/20,13735,955,69.5303968,292,21.25955588,69,5.023662177
E05010891,Brislington West,2020/21,11456,1117,97.50349162,458,39.97905028,47,4.102653631
E05010893,Clifton,2020/21,13454,689,51.2115356,176,13.08161142,59,4.385312918
E05010905,Cabot,2020/21,6392,1219,190.7071339,304,47.55944931,62,9.699624531
E05010886,Lawrence Weston,2021/22,21361,2554,119.5636908,1162,54.39820233,94,4.400543046
E05010898,Filwood,2021/22,13824,1808,130.787037,808,58.44907407,69,4.991319444
E05010907,Lawrence Hill,2021/22,20156,3803,188.6783092,1426,70.74816432,183,9.079182377
E05010909,Redland,2021/22,12949,702,54.21268052,241,18.61147579,77,5.946405128
E05010918,Windmill Hill,2021/22,13744,1195,86.94703143,430,31.28637951,72,5.238649593
E05010892,Central,2016/17,17151,8088,471.5760014,1951,113.7543,399,23.26394962
E05010898,Filwood,2016/17,13830,1755,126.8980477,639,46.20390456,121,8.749096168
E05010912,St George West,2016/17,6588,701,106.4055859,220,33.39404979,75,11.38433515
E05010918,Windmill Hill,2017/18,13673,1071,78.3295546,355,25.96357785,98,7.167410225
E05010885,Ashley,2018/19,19083,2675,140.177121,787,41.24089504,178,9.327673846
E05010888,Bishopston,2018/19,13415,900,67.08907939,238,17.74133433,96,7.156168468
E05010901,Henbury,2018/19,12473,1150,92.19915016,449,35.99775515,94,7.536278361
E05010904,Horfield,2018/19,13415,1256,93.62653746,451,33.61908312,111,8.274319791
E05010913,Southmead,2018/19,12632,1171,92.70107663,477,37.76124129,88,6.966434452
E05010914,Southville,2018/19,12671,2105,166.1273775,519,40.95967169,118,9.312603583
E05010895,Cotham,2019/20,12110,688,56.81255161,152,12.55161024,62,5.119735756
E05010897,Eastville,2019/20,14696,1669,113.5683179,590,40.14697877,98,6.668481219
E05010906,Knowle,2019/20,13345,990,74.18508805,379,28.40014987,60,4.496065942
,Bristol,2019/20,463405,52601,113.5097809,17400,37.54814903,3122,6.737087429
E05010887,Bedminster,2020/21,12517,1035,82.68754494,329,26.28425342,69,5.512502996
E05010890,Brislington East,2020/21,11785,796,67.54348748,328,27.83198982,50,4.242681375
E05010895,Cotham,2020/21,11693,574,49.08919867,130,11.11776276,51,4.361583854
E05010895,Cotham,2021/22,11720,661,56.39931741,207,17.66211604,58,4.948805461
E05010896,Easton,2021/22,14340,1562,108.9260809,653,45.53695955,67,4.672245467
E05010900,Hartcliffe,2021/22,18839,2616,138.8608737,1300,69.00578587,119,6.316683476
E05010887,Bedminster,2016/17,12336,1133,91.84500649,332,26.91309987,93,7.538910506
E05010901,Henbury & Brentry,2016/17,12275,1147,93.44195519,416,33.89002037,115,9.368635438
E05010906,Knowle,2016/17,13425,1124,83.72439479,362,26.96461825,91,6.77839851
E05010887,Bedminster,2017/18,12446,1121,90.06909851,343,27.55905512,107,8.597139643
E05010895,Cotham,2017/18,11756,897,76.30146308,194,16.50221164,117,9.95236475
E05010898,Filwood,2017/18,13801,1722,124.7735671,654,47.38787044,92,6.66618361
E05010909,Redland,2017/18,13146,892,67.85333942,156,11.86672752,123,9.356458238
E05010910,St George East,2017/18,12931,1099,84.98955997,400,30.93341582,128,9.898693063
E05010912,St George West,2017/18,6520,678,103.9877301,225,34.50920245,68,10.42944785
E05010914,Southville,2017/18,12384,2254,182.0090439,565,45.62338501,193,15.58462532
E05010916,Stoke Bishop,2017/18,12195,556,45.59245592,126,10.33210332,69,5.658056581
E05010889,Bishopsworth,2018/19,11425,1391,121.750547,400,35.01094092,86,7.527352298
E05010893,Clifton,2018/19,13581,781,57.50681099,181,13.32744275,85,6.258743833
E05010897,Eastville,2018/19,14696,1616,109.9618944,577,39.26238432,98,6.668481219
E05010905,Hotwells & Harbourside,2018/19,6056,2181,360.1387054,692,114.2668428,131,21.63143989
E05010906,Knowle,2018/19,13345,988,74.03521918,331,24.80329712,88,6.594230049
E05010909,Redland,2018/19,13088,772,58.98533007,185,14.13508557,97,7.411369193
E05010890,Brislington East,2019/20,11892,835,70.21527077,312,26.23612513,72,6.054490414
E05010898,Filwood,2019/20,13750,1571,114.2545455,640,46.54545455,99,7.2
E05010907,Lawrence Hill,2019/20,19473,3481,178.7603348,1175,60.33995789,155,7.959739126
E05010910,St George Central,2019/20,6518,1061,162.7799939,387,59.37404112,114,17.49002762
E05010894,Clifton Down,2020/21,11507,616,53.53263231,125,10.86295299,34,2.954723212
E05010896,Easton,2020/21,14153,1476,104.2888434,577,40.76874161,80,5.652511835
E05010918,Windmill Hill,2020/21,13751,1060,77.08530289,361,26.25263617,45,3.272489274
E05010901,Henbury & Brentry,2021/22,12641,1413,111.7791314,630,49.83782929,52,4.113598608
E05010903,Hillfields,2021/22,12906,1042,80.73764141,414,32.07810321,65,5.03641717
E05010906,Knowle,2021/22,13252,1088,82.10081497,426,32.14609116,52,3.92393601
E05010912,St George West,2021/22,6579,740,112.4791002,276,41.95166439,41,6.231950144
E05010914,Southville,2021/22,12960,2030,156.6358025,639,49.30555556,98,7.561728395
E05010916,Stoke Bishop,2021/22,11948,636,53.23066622,245,20.50552394,76,6.360897221
E05010885,Ashley,2016/17,18949,3119,164.599715,859,45.3322075,181,9.551955248
E05010889,Bishopsworth,2016/17,11553,1504,130.1826365,419,36.26763611,116,10.04068207
E05010894,Clifton Down,2016/17,11457,883,77.07078642,122,10.64851183,83,7.244479358
E05010896,Easton,2016/17,14105,1526,108.1885856,529,37.50443105,192,13.61219426
E05010900,Hartcliffe & Withywood,2016/17,18866,2453,130.0222623,945,50.09010919,161,8.533870455
E05010908,Lockleaze,2016/17,13240,1322,99.8489426,438,33.081571,127,9.592145015
E05010913,Southmead,2016/17,12841,1377,107.234639,478,37.22451522,106,8.254808816
E05010918,Windmill Hill,2016/17,13511,1113,82.37732218,351,25.97883206,96,7.10532159
E05010888,Bishopston & Ashley Down,2017/18,13280,1120,84.3373494,257,19.35240964,153,11.52108434
E05010893,Clifton,2017/18,13552,721,53.20247934,132,9.74025974,70,5.165289256
E05010900,Hartcliffe & Withywood,2017/18,19030,2578,135.47031,1036,54.44035733,161,8.460325801
E05010911,St George Troopers Hill,2017/18,5826,215,36.90353587,79,13.55990388,21,3.604531411
E05010890,Brislington East,2018/19,11892,751,63.15169862,279,23.46115035,59,4.961318533
E05010908,Lockleaze,2018/19,13398,1445,107.8519182,466,34.78131064,93,6.941334528
E05010912,St George West,2018/19,6518,669,102.6388463,240,36.82111077,68,10.43264805
E05010885,Ashley,2019/20,19083,2733,143.2164754,890,46.63836923,164,8.594036577
E05010894,Clifton Down,2019/20,11639,776,66.67239454,152,13.0595412,53,4.553655812
E05010899,Frome Vale,2019/20,13477,1393,103.3612822,449,33.31601989,72,5.34243526
E05010900,Hartcliffe & Withywood,2019/20,19005,2445,128.6503552,1050,55.24861878,106,5.577479611
E05010901,Henbury & Brentry,2019/20,12473,1273,102.0604506,549,44.01507256,67,5.371602662
E05010904,Horfield,2019/20,13415,1565,116.6604547,617,45.99329109,118,8.796123742
E05010916,Stoke Bishop,2019/20,12068,537,44.49784554,155,12.84388465,57,4.723235002
E05010885,Ashley,2020/21,19075,2494,130.7470511,845,44.29882045,143,7.49672346
E05010914,Southville,2020/21,12869,1784,138.62771,473,36.75499262,120,9.324733857
E05010893,Clifton,2021/22,13337,758,56.83437055,218,16.34550499,61,4.573742221
E05010897,Eastville,2021/22,14756,1762,119.4090539,669,45.33748983,98,6.641366224
E05010905,Hotwells & Harbourside,2021/22,7005,2403,343.0406852,1078,153.8900785,56,7.994289793
E05010911,St George Troopers Hill,2016/17,5891,227,38.53335597,68,11.54303174,24,4.074011204
E05010915,Stockwood,2016/17,11793,1010,85.64402612,310,26.28678029,84,7.122869499
E05010886,Avonmouth & Lawrence Weston,2017/18,21191,2377,112.170261,771,36.3833703,158,7.45599547
E05010889,Bishopsworth,2017/18,11463,1606,140.1029399,464,40.47805984,126,10.99188694
,Bristol,2017/18,459252,55916,121.7545052,16716,36.39831726,4852,10.5650057
E05010891,Brislington West,2018/19,11336,1287,113.5321101,431,38.02046577,83,7.321806634
E05010895,Cotham,2018/19,12110,773,63.83154418,179,14.78117258,162,13.37737407
E05010910,St George Central,2018/19,12902,1105,85.64563634,459,35.57587971,118,9.145868858
E05010916,Stoke Bishop,2018/19,12068,604,50.04971826,143,11.84951939,68,5.634736493
E05010917,Westbury-on-Trym & Henleaze,2018/19,19971,827,41.41004456,174,8.712633318,125,6.25907566
E05010918,Windmill Hill,2018/19,13735,904,65.81725519,310,22.57007645,63,4.586821988
E05010889,Bishopsworth,2019/20,11425,1296,113.4354486,470,41.13785558,86,7.527352298
E05010896,Easton,2019/20,14169,1377,97.18399322,521,36.77041428,70,4.940362764
E05010905,Hotwells & Harbourside,2019/20,6056,2115,349.2404227,734,121.2021136,99,16.34742404
E05010915,Stockwood,2019/20,11580,889,76.77029361,349,30.13816926,53,4.576856649
E05010888,Bishopston & Ashley Down,2020/21,13338,889,66.65167191,297,22.26720648,64,4.798320588
E05010892,Central,2020/21,21762,5109,234.7670251,1409,64.74588733,207,9.511993383
E05010902,Hengrove & Whitchurch Park,2020/21,17003,1463,86.04363936,623,36.64059284,118,6.939951773
E05010907,Lawrence Hill,2020/21,19626,3291,167.685723,1210,61.65290941,140,7.133394477
E05010910,St George Central,2020/21,12865,1059,82.31636222,469,36.45549942,62,4.819277108
E05010911,St George Troopers Hill,2020/21,5773,284,49.19452624,82,14.20405335,15,2.598302442
E05010917,Westbury-on-Trym & Henleaze,2020/21,19806,871,43.97657276,165,8.330808846,116,5.856811067
E05010888,Bishopston & Ashley Down,2021/22,13290,851,64.0331076,289,21.74567344,74,5.568096313
E05010894,Clifton Down,2021/22,11296,656,58.07365439,186,16.46600567,56,4.957507082
E05010908,Lockleaze,2021/22,13278,1399,105.3622534,560,42.17502636,67,5.045940654
E05010891,Brislington West,2016/17,11212,1382,123.260792,372,33.17873707,125,11.14876918
E05010902,Hengrove & Whitchurch Park,2016/17,17596,1966,111.7299386,565,32.10957036,169,9.604455558
E05010909,Redland,2016/17,13251,790,59.61814203,159,11.99909441,135,10.18791035
E05010910,St George Central,2016/17,12955,1255,96.8737939,378,29.17792358,171,13.19953686
E05010896,Easton,2017/18,14026,1469,104.7340653,503,35.86197063,131,9.339797519
E05010897,Eastville,2017/18,14621,1607,109.9104028,503,34.40257164,159,10.87476917
E05010901,Henbury & Brentry,2017/18,12360,1197,96.84466019,399,32.2815534,120,9.708737864
E05010902,Hengrove & Whitchurch Park,2017/18,17414,1920,110.2561158,625,35.89066269,148,8.498908924
E05010904,Horfield,2017/18,13347,1564,117.1798906,461,34.53959691,323,24.2001948
E05010906,Knowle,2017/18,13315,1063,79.83477281,346,25.98573038,97,7.285016898
E05010886,Avonmouth & Lawrence Weston,2018/19,21375,2288,107.0409357,887,41.49707602,136,6.362573099
E05010898,Filwood,2018/19,13750,1721,125.1636364,677,49.23636364,78,5.672727273
E05010899,Frome Vale,2018/19,13477,1417,105.1420939,541,40.14246494,74,5.49083624
E05010907,Lawrence Hill,2018/19,19473,3159,162.2246187,1041,53.45863503,186,9.551686951
E05010911,St George Troopers Hill,2018/19,5834,209,35.8244772,72,12.34144669,25,4.285224546
E05010888,Bishopston & Ashley Down,2019/20,13415,887,66.12001491,301,22.43756988,51,3.801714499
E05010892,Central,2019/20,20656,8570,414.8915569,2129,103.0693261,337,16.31487219
E05010908,Lockleaze,2019/20,13398,1404,104.79176,473,35.30377668,67,5.00074638
E05010917,Westbury-on-Trym & Henleaze,2019/20,19971,867,43.41294878,190,9.513795003,124,6.209003054
E05010900,Hartcliffe & Withywood,2020/21,18883,2575,136.3660435,1218,64.50246253,91,4.8191495
E05010903,Hillfields,2020/21,12830,1106,86.20420889,451,35.15198753,58,4.520654716
E05010906,Knowle,2020/21,13276,988,74.42000603,389,29.30099428,53,3.992166315
E05010908,Lockleaze,2020/21,13324,1283,96.29240468,475,35.64995497,64,4.803362354
E05010913,Southmead,2020/21,12583,1309,104.0292458,531,42.19979337,72,5.722005881
E05010890,Brislington East,2021/22,11767,883,75.04036713,397,33.73842101,71,6.033823404
E05010892,Central,2021/22,23066,7961,345.1400329,2575,111.6361745,237,10.27486344
E05010910,St George Central,2021/22,12876,1045,81.15874495,424,32.92948121,66,5.125815471
E05010911,St George Troopers Hill,2021/22,5740,258,44.94773519,112,19.51219512,17,2.961672474
E05010915,Stockwood,2021/22,11367,980,86.21448051,457,40.20409959,73,6.422099059
E05010886,Avonmouth & Lawrence Weston,2016/17,21220,2397,112.9594722,826,38.92554194,182,8.576814326
E05010888,Bishopston & Ashley Down,2016/17,13116,1095,83.48581885,305,23.25404087,133,10.14028667
E05010890,Brislington East,2016/17,11850,909,76.70886076,305,25.73839662,108,9.113924051
E05010893,Clifton,2016/17,13233,672,50.78213557,111,8.388120608,72,5.440943097
E05010897,Eastville,2016/17,14460,1631,112.7939142,460,31.81189488,177,12.2406639
E05010899,Frome Vale,2016/17,13002,1522,117.058914,415,31.91816644,174,13.38255653
E05010904,Horfield,2016/17,13435,1527,113.658355,445,33.12244138,249,18.53368068
E05010891,Brislington West,2017/18,11235,1344,119.6261682,382,34.00089008,106,9.434801958
E05010894,Clifton Down,2017/18,11356,1019,89.73230011,130,11.44769285,122,10.74321944
E05010907,Lawrence Hill,2017/18,19003,3722,195.863811,1266,66.62105983,231,12.15597537
E05010908,Lockleaze,2017/18,13339,1405,105.3302347,447,33.51075793,133,9.970762426
E05010915,Stockwood,2017/18,11688,1064,91.03353867,338,28.91854894,88,7.529089665
E05010902,Hengrove & Whitchurch Park,2018/19,17222,1633,94.82057833,616,35.76820346,114,6.619440251
E05010903,Hillfields,2018/19,12898,1022,79.23709102,395,30.62490309,86,6.667700419
,Bristol,2018/19,463405,52203,112.6509209,16776,36.20159472,3709,8.003797974
E05010912,St George West,2019/20,12671,673,53.11340857,219,17.28356089,47,3.709257359
E05010913,Southmead,2019/20,12902,1126,87.27329096,435,33.71570299,76,5.890559603
E05010914,Southville,2019/20,5834,2283,391.3267055,634,108.6732945,120,20.56907782
E05010897,Eastville,2020/21,14561,1706,117.1622828,641,44.02170181,90,6.180894169
E05010898,Filwood,2020/21,13855,1749,126.2360159,726,52.39985565,57,4.114038253
E05010899,Frome Vale,2020/21,13592,1394,102.5603296,478,35.16774573,88,6.474396704
E05010904,Horfield,2020/21,13375,1438,107.5140187,595,44.48598131,80,5.981308411
E05010916,Stoke Bishop,2020/21,12001,633,52.74560453,204,16.99858345,57,4.7496042
E05010885,Ashley,2021/22,19002,2350,123.6711925,925,48.67908641,139,7.315019472
E05010889,Bishopsworth,2021/22,11442,1189,103.9153994,465,40.6397483,85,7.428771194
E05010891,Brislington West,2021/22,11563,1304,112.7735017,539,46.61420047,71,6.140275015
E05010899,Frome Vale,2021/22,13654,1512,110.7367804,629,46.06708657,78,5.712611689
E05010904,Horfield,2021/22,13339,1428,107.0545018,621,46.55521403,100,7.496813854
E05010917,Westbury-on-Trym & Henleaze,2021/22,19677,847,43.04517965,218,11.07892463,158,8.029679321
,Bristol,2021/22,465866,53783,115.4473604,21094,45.2791146,2873,6.167009398
E05010903,Hillfields,2016/17,12673,1065,84.0369289,370,29.19592835,119,9.390041821
E05010885,Ashley,2017/18,19019,2889,151.9007308,894,47.00562595,183,9.62195699
E05010890,Brislington East,2017/18,11837,813,68.68294331,287,24.24600828,80,6.758469207
E05010892,Central,2017/18,18798,8490,451.6437919,2142,113.9482924,466,24.78987126
E05010913,Southmead,2017/18,12670,1412,111.4443567,454,35.83267561,126,9.944751381
E05010894,Clifton Down,2018/19,11639,845,72.6007389,182,15.63708222,103,8.849557522
E05010896,Easton,2018/19,14169,1377,97.18399322,502,35.42945868,71,5.010939375
E05010900,Hartcliffe & Withywood,2018/19,19005,2653,139.5948435,1114,58.61615364,115,6.0510392
E05010891,Brislington West,2019/20,11336,1219,107.5335215,420,37.05010586,70,6.175017643
E05010893,Clifton,2019/20,13581,837,61.63021869,166,12.22295855,70,5.154259627
E05010902,Hengrove & Whitchurch Park,2019/20,17222,1572,91.27859714,589,34.2004413,109,6.329113924
E05010911,St George Troopers Hill,2019/20,12632,293,23.19506016,90,7.124762508,24,1.899936669
E05010886,Avonmouth & Lawrence Weston,2020/21,21408,2204,102.9521674,880,41.10612855,120,5.605381166
E05010889,Bishopsworth,2020/21,11415,1116,97.76609724,409,35.83004818,55,4.818221638
E05010901,Henbury & Brentry,2020/21,12470,1248,100.0801925,540,43.30392943,75,6.014434643
E05010909,Redland,2020/21,13036,614,47.10033753,135,10.3559374,101,7.747775391
E05010912,St George West,2020/21,6593,740,112.2402548,272,41.25587745,33,5.005308661
E05010915,Stockwood,2020/21,11350,889,78.32599119,396,34.88986784,34,2.995594714
,Bristol,2020/21,463377,46821,101.0429952,16703,36.04624312,2610,5.632562687
E05010887,Bedminster,2021/22,12568,1116,88.79694462,462,36.76002546,64,5.092297899
E05010902,Hengrove & Whitchurch Park,2021/22,16948,1899,112.0486193,831,49.0323342,117,6.903469436
E05010913,Southmead,2021/22,12676,1332,105.080467,582,45.91353739,62,4.891132849