Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total_Billion,GDP,GDP1
08/31/2022,93769635059,15254184552,109023819611,2022,109.0238196,,
12/31/2021,89474552025,14554823681,104029375706,2021,104.0293757,96100091004540.90,0.001082511
12/31/2020,93408630285,12481816684,105890446969,2020,105.890447,84906814189239.50,0.001247137
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,87652863215992.60,0.00083895
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,86413032779059.90,0.000715422
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,81403977427442.50,0.000566406
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,76465590005079.00,0.00072909
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,75179266270828.20,0.000762627
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,79708812241364.70,0.000945119
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,77607198470255.70,0.001160635
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,75488064175234.30,0.001269189
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,73853784046173.90,0.001253633
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,66596051013842.60,0.000907553
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,60809111827058.90,0.000695633
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,64123704273248.60,0.000335092
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,58355015091735.70,0.000168505
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,51779845590495.90,0.000263938
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,47779714794501.40,0.000726548
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,44117601127347.20,0.001408504
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,39146988388574.70,0.001836998
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,34911427050143.30,0.002018529
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,33615435966786.10,0.001781973
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,33830878799862.60,0.001457903
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,32737374968670.30,0.001756284
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,31539957901617.90,0.002116041
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,31620443662618.80,0.001662497
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,31736660050489.40,0.001323677
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,31043647879191.00,0.001339617
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,27872255132401.30,0.001083925
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,25821978923417.60,0.001128478
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,25406106106319.10,0.001093109
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,23759572449577.40,0.001122255
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,22779978683109.70,0.001022993
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,20194003803614.60,0.001220659
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,19337997470087.40,0.001371599
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,17307238004339.90,0.001769105
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,15205315531175.40,0.002324718
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,12860094462309.70,0.00292883
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,12269792365284.90,0.003073128
,,,,,,,
,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,
,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,